original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	n	n_cum	f	f_cum
8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	162631	162631	33.8	33.8
4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	87901	250532	18.3	52
12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	68926	319458	14.3	66.4
2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	57201	376659	11.9	78.2
1/2⁰.	2fo	NA	NA	FALSE	2fo	30	45	0	1350	34723	411382	7.2	85.5
1⁰.	1to	NA	NA	FALSE	2fo	30	45	0	1350	16362	427744	3.4	88.9
NA	NA	NA	NA	FALSE	NA	NA	NA	0	NA	10311	438055	2.1	91
1/4⁰.	4to	NA	NA	FALSE	4to	22	28	0	616	9088	447143	1.9	92.9
1/8⁰.	8vo	NA	NA	FALSE	8vo	13	19	0	247	2776	449919	0.6	93.5
18⁰.	18mo	NA	NA	FALSE	18mo	10	16	0	160	2000	451919	0.4	93.9
16⁰.	16mo	NA	NA	FALSE	16mo	12	15	0	180	1986	453905	0.4	94.3
24⁰.	24mo	NA	NA	FALSE	24mo	8.5	12.5	0	106.25	1759	455664	0.4	94.7
4°.	4to	NA	NA	FALSE	4to	22	28	0	616	1458	457122	0.3	95
4⁰	4to	NA	NA	FALSE	4to	22	28	0	616	1257	458379	0.3	95.2
8⁰	8vo	NA	NA	FALSE	8vo	13	19	0	247	1024	459403	0.2	95.4
obl. 1⁰.	1to	NA	NA	TRUE	2fo	45	30	1	1350	1014	460417	0.2	95.6
obl. 1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	974	461391	0.2	95.8
obl.1/2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	807	462198	0.2	96
12⁰	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	723	462921	0.2	96.2
broadsheet	1to	NA	NA	FALSE	2fo	30	45	0	1350	712	463633	0.1	96.3
32⁰.	32mo	NA	NA	FALSE	32mo	7	12	0	84	709	464342	0.1	96.5
1/12⁰.	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	682	465024	0.1	96.6
2⁰	2fo	NA	NA	FALSE	2fo	30	45	0	1350	492	465516	0.1	96.7
octavo	8vo	NA	NA	FALSE	8vo	13	19	0	247	477	465993	0.1	96.8
1/2⁰	2fo	NA	NA	FALSE	2fo	30	45	0	1350	437	466430	0.1	96.9
quarto [fewer than 50 pages]	4to	NA	NA	FALSE	4to	22	28	0	616	423	466853	0.1	97
quarto	4to	NA	NA	FALSE	4to	22	28	0	616	293	467146	0.1	97
duodecimo	12mo	NA	NA	FALSE	12mo	12.5	19	0	237.5	273	467419	0.1	97.1
17 cm.	NA	NA	17	FALSE	NA	12	17	NA	204	242	467661	0.1	97.1
34 x 21 cm.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	225	467886	0	97.2
obl.4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	219	468105	0	97.2
obl.2⁰.	2fo	NA	NA	TRUE	2fo	45	30	1	1350	195	468300	0	97.3
16 cm.	NA	NA	16	FALSE	NA	11	16	NA	176	194	468494	0	97.3
19 cm.	NA	NA	19	FALSE	NA	13	19	NA	247	180	468674	0	97.4
18 cm.	NA	NA	18	FALSE	NA	12	18	NA	216	165	468839	0	97.4
1/16⁰.	16mo	NA	NA	FALSE	16mo	12	15	0	180	158	468997	0	97.4
21 cm.	NA	NA	21	FALSE	NA	14	21	NA	294	158	469155	0	97.5
long 12⁰.	12long	NA	NA	FALSE	12long	13	20	0	260	156	469311	0	97.5
s.sh.fol.	NA	NA	NA	FALSE	NA	NA	NA	0	NA	149	469460	0	97.5
obl.8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	141	469601	0	97.6
obl. 4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	139	469740	0	97.6
20 cm.	NA	NA	20	FALSE	NA	13	20	NA	260	137	469877	0	97.6
obl.1/8⁰.	8vo	NA	NA	TRUE	8vo	19	13	1	247	124	470001	0	97.6
64⁰.	64mo	NA	NA	FALSE	64mo	5	7	0	35	122	470123	0	97.7
octavo [fewer than 50 pages]	8vo	NA	NA	FALSE	8vo	13	19	0	247	115	470238	0	97.7
21 cm (8⁰)	8vo	NA	21	FALSE	8vo	14	21	0	294	111	470349	0	97.7
obl. 1/4⁰.	4to	NA	NA	TRUE	4to	28	22	1	616	111	470460	0	97.7
obl.12⁰.	12mo	NA	NA	TRUE	12mo	19	12.5	1	237.5	111	470571	0	97.8
